,Claim_ID,Policy_ID,Customer_ID,Date_of_Claim,Date_of_Incident,Claim_Amount,Approved_Amount,Claim_Status,Policy_Type,Policy_Start_Date,Policy_End_Date,Premium_Amount,Customer_Age,Customer_Gender,Customer_Income,Customer_Credit_Score,Customer_Region,Incident_Type,Incident_Severity,Reported_By,Claim_Filing_Channel,Processing_Time,Payment_Method,Previous_Claims_Count,Previous_Claims_Amount,Fraud_Suspected,Adjuster_ID,Adjuster_Decision_Date,Adjuster_Notes,Third_Party_Involvement,Third_Party_Cost,Legal_Action_Taken,Resolution_Date,Resolution_Time,Customer_Satisfaction_Score,Claim_Rejection_Reason,Claim_Approval_Reason
13,3,103,1001,1/5/2024,12/22/2023,6764,6749,Pending,Auto,6/9/2022,12/31/2023,830,45,Female,74854,750,Suburban,Fire,Low,Agent,Agent,13,Cheque,0,0,TRUE,501,1/9/2024,Needs further review,FALSE,2,TRUE,1/12/2024,17,3,Fraud detected,Pending adjuster approval
14,2,102,1003,1/10/2024,12/28/2023,4000,3800,Rejected,Auto,7/1/2022,12/31/2023,1497,30,Male,50050,680,Suburban,Theft,Low,Self,Online,11,Direct Transfer,2,4923,FALSE,503,1/14/2024,Fraud suspected,TRUE,1973,FALSE,1/18/2024,16,4.5,,
15,3,102,1003,1/10/2024,12/29/2023,4000,3800,Pending,Auto,7/1/2022,12/31/2023,1498,30,Male,50036,680,Suburban,Fire,Medium,Self,Phone,14,Direct Transfer,2,4943,FALSE,503,1/14/2024,Needs further review,TRUE,1980,FALSE,1/19/2024,18,4.5,,Pending adjuster approval
16,1,102,1001,1/6/2024,12/21/2023,5736,5713,Rejected,Home,6/8/2022,12/31/2023,987,41,Male,68214,740,Urban,Theft,High,Self,Online,7,Cheque,0,438,FALSE,501,1/8/2024,Fraud suspected,FALSE,356,TRUE,1/11/2024,12,3.8,Fraud detected,All documents valid
17,3,102,1003,1/10/2024,12/28/2023,4001,3800,Pending,Auto,7/1/2022,12/31/2023,1493,30,Male,50120,680,Suburban,Fire,Low,Self,Online,13,Direct Transfer,2,4855,FALSE,503,1/14/2024,Needs further review,TRUE,1951,FALSE,1/18/2024,18,4.5,,Pending adjuster approval
18,1,102,1001,1/5/2024,12/20/2023,6651,6742,Rejected,Home,5/11/2022,12/31/2023,852,45,Female,73938,750,Urban,Theft,High,Agent,Online,7,Cheque,0,27,FALSE,501,1/7/2024,Valid claim,FALSE,48,TRUE,1/10/2024,12,3.1,Fraud detected,
19,3,103,1003,1/10/2024,12/29/2023,4001,3800,Pending,Health,7/1/2022,12/31/2023,1492,30,Male,50146,680,Rural,Fire,Medium,Self,Agent,15,Direct Transfer,2,4838,FALSE,503,1/14/2024,Needs further review,TRUE,1946,FALSE,1/19/2024,19,4.5,,Pending adjuster approval
20,2,102,1001,1/6/2024,12/22/2023,6498,6719,Rejected,Auto,6/22/2022,12/31/2023,883,44,Female,72748,747,Urban,Theft,High,Agent,Online,10,Cheque,0,88,TRUE,501,1/9/2024,Fraud suspected,FALSE,113,TRUE,1/12/2024,15,3.1,Fraud detected,Pending adjuster approval
21,1,101,1001,1/5/2024,12/20/2023,6466,6608,Approved,Home,5/2/2022,12/31/2023,873,44,Male,72959,750,Urban,Accident,High,Self,Online,5,Cheque,0,69,FALSE,501,1/7/2024,Valid claim,FALSE,93,TRUE,1/10/2024,10,3.8,Fraud detected,All documents valid
22,3,103,1003,1/10/2024,12/28/2023,4097,3807,Pending,Auto,7/1/2022,12/31/2023,1400,31,Female,52823,680,Suburban,Fire,Medium,Agent,Agent,14,Direct Transfer,2,3520,FALSE,503,1/14/2024,Needs further review,TRUE,1546,FALSE,1/18/2024,19,4.2,,Pending adjuster approval
23,3,103,1002,1/9/2024,12/25/2023,5881,6389,Pending,Auto,7/1/2022,12/31/2023,990,42,Female,68425,717,Suburban,Fire,Low,Agent,Agent,13,Cheque,0,442,TRUE,502,1/13/2024,Needs further review,FALSE,362,TRUE,1/15/2024,18,3.1,Fraud detected,Pending adjuster approval
24,1,101,1001,1/6/2024,12/21/2023,5162,4526,Rejected,Home,6/14/2022,12/31/2023,1075,38,Male,64506,731,Urban,Theft,High,Self,Online,7,Cheque,1,866,FALSE,501,1/8/2024,Fraud suspected,FALSE,576,TRUE,1/11/2024,12,4.2,Fraud detected,All documents valid
25,3,102,1003,1/10/2024,12/27/2023,4121,3807,Pending,Auto,7/1/2022,12/31/2023,1380,31,Female,53412,681,Suburban,Fire,Low,Self,Phone,13,Direct Transfer,1,3293,FALSE,503,1/14/2024,Needs further review,TRUE,1475,FALSE,1/17/2024,17,4.3,,Pending adjuster approval
26,1,101,1001,1/5/2024,12/20/2023,4752,3954,Approved,Home,5/27/2022,12/31/2023,1142,35,Male,61649,731,Urban,Accident,High,Self,Online,6,Cheque,1,1270,FALSE,501,1/7/2024,Valid claim,FALSE,755,TRUE,1/10/2024,11,4.5,Fraud detected,All documents valid
27,1,101,1001,1/5/2024,12/20/2023,5369,4788,Rejected,Home,5/27/2022,12/31/2023,1036,39,Male,66080,739,Urban,Accident,High,Self,Online,6,Cheque,0,661,FALSE,501,1/8/2024,Valid claim,FALSE,476,TRUE,1/10/2024,11,4.2,Fraud detected,All documents valid
28,2,102,1003,1/10/2024,12/28/2023,4007,3800,Pending,Auto,7/1/2022,12/31/2023,1473,30,Male,50580,680,Suburban,Fire,Low,Self,Online,12,Direct Transfer,2,4518,FALSE,503,1/14/2024,Needs further review,TRUE,1848,FALSE,1/18/2024,17,4.5,,Pending adjuster approval
29,2,102,1002,1/7/2024,12/22/2023,4972,4365,Rejected,Home,7/1/2022,12/31/2023,1120,37,Male,62823,717,Urban,Theft,High,Self,Online,9,Cheque,1,1117,FALSE,502,1/10/2024,Fraud suspected,FALSE,691,TRUE,1/12/2024,13,4.1,Fraud detected,
30,2,102,1002,1/7/2024,12/23/2023,5612,5750,Rejected,Auto,7/1/2022,12/31/2023,1019,40,Female,67061,726,Urban,Theft,High,Agent,Online,10,Cheque,0,570,FALSE,502,1/10/2024,Fraud suspected,FALSE,432,TRUE,1/13/2024,15,3.5,Fraud detected,Pending adjuster approval
31,1,101,1001,1/5/2024,12/20/2023,4548,3823,Approved,Home,5/4/2022,12/31/2023,1162,34,Male,60511,743,Urban,Accident,High,Self,Online,5,Cheque,1,1423,FALSE,501,1/7/2024,Valid claim,FALSE,812,TRUE,1/10/2024,10,4.5,Fraud detected,All documents valid
32,1,101,1002,1/9/2024,12/23/2023,4001,3800,Approved,Home,7/1/2022,12/31/2023,1487,30,Male,50216,681,Urban,Accident,High,Self,Online,6,Direct Transfer,2,4755,FALSE,502,1/10/2024,Valid claim,TRUE,1919,FALSE,1/13/2024,11,4.5,,All documents valid
33,1,101,1001,1/5/2024,12/20/2023,6553,6694,Approved,Home,5/3/2022,12/31/2023,863,44,Male,73421,750,Urban,Accident,High,Self,Online,6,Cheque,0,48,FALSE,501,1/7/2024,Valid claim,FALSE,71,TRUE,1/10/2024,10,3.5,Fraud detected,All documents valid
34,1,101,1001,1/5/2024,12/20/2023,5012,3868,Approved,Home,5/1/2022,12/31/2023,1038,37,Male,65241,750,Urban,Accident,High,Self,Online,5,Cheque,0,698,FALSE,501,1/7/2024,Valid claim,FALSE,486,TRUE,1/10/2024,10,4.5,Fraud detected,All documents valid
35,2,102,1002,1/7/2024,12/23/2023,4440,3867,Rejected,Home,7/1/2022,12/31/2023,1240,33,Male,58143,702,Urban,Theft,High,Self,Online,8,Cheque,1,1968,FALSE,502,1/10/2024,Fraud suspected,TRUE,1027,TRUE,1/13/2024,13,4.4,Fraud detected,
36,2,102,1002,1/8/2024,12/24/2023,4649,4039,Rejected,Home,7/1/2022,12/31/2023,1194,35,Male,59968,702,Urban,Theft,High,Self,Online,10,Cheque,1,1612,FALSE,502,1/11/2024,Fraud suspected,FALSE,894,TRUE,1/14/2024,14,4.1,Fraud detected,Pending adjuster approval
37,2,102,1002,1/10/2024,12/26/2023,4122,3806,Pending,Auto,7/1/2022,12/31/2023,1376,31,Male,53513,682,Suburban,Fire,Low,Self,Online,12,Direct Transfer,1,3250,FALSE,502,1/13/2024,Needs further review,TRUE,1461,FALSE,1/16/2024,17,4.4,,Pending adjuster approval
38,2,102,1002,1/10/2024,12/27/2023,4004,3800,Rejected,Auto,7/1/2022,12/31/2023,1480,30,Male,50417,680,Suburban,Theft,Low,Self,Online,11,Direct Transfer,2,4620,FALSE,502,1/13/2024,Fraud suspected,TRUE,1878,FALSE,1/17/2024,15,4.5,,
39,1,101,1001,1/7/2024,12/21/2023,4051,3800,Approved,Home,7/1/2022,12/31/2023,1400,30,Male,52508,691,Urban,Accident,High,Self,Online,6,Direct Transfer,2,3549,FALSE,501,1/8/2024,Valid claim,TRUE,1550,FALSE,1/11/2024,11,4.5,,All documents valid
40,1,101,1001,1/5/2024,12/20/2023,6040,6145,Rejected,Home,5/15/2022,12/31/2023,937,42,Male,70267,748,Urban,Accident,High,Self,Online,6,Cheque,0,250,FALSE,501,1/7/2024,Valid claim,FALSE,238,TRUE,1/10/2024,11,3.8,Fraud detected,All documents valid
41,3,103,1003,1/10/2024,12/28/2023,4100,3807,Pending,Auto,7/1/2022,12/31/2023,1396,31,Female,52921,681,Suburban,Fire,Medium,Agent,Agent,14,Direct Transfer,2,3478,FALSE,503,1/14/2024,Needs further review,TRUE,1534,FALSE,1/18/2024,18,4.2,,Pending adjuster approval
42,2,102,1003,1/10/2024,12/29/2023,4000,3800,Rejected,Auto,7/1/2022,12/31/2023,1499,30,Male,50007,680,Suburban,Fire,Low,Self,Online,12,Direct Transfer,2,4984,FALSE,503,1/14/2024,Needs further review,TRUE,1994,FALSE,1/19/2024,17,4.5,,
43,3,102,1003,1/10/2024,12/28/2023,4021,3800,Pending,Auto,7/1/2022,12/31/2023,1453,30,Male,51145,680,Suburban,Fire,Low,Self,Phone,13,Direct Transfer,2,4212,FALSE,503,1/14/2024,Needs further review,TRUE,1755,FALSE,1/18/2024,18,4.5,,Pending adjuster approval
44,3,103,1003,1/10/2024,12/29/2023,4000,3800,Pending,Health,7/1/2022,12/31/2023,1500,30,Male,50004,680,Rural,Fire,Medium,Self,Agent,15,Direct Transfer,2,4990,FALSE,503,1/14/2024,Needs further review,TRUE,1996,FALSE,1/19/2024,19,4.5,,Pending adjuster approval
45,3,103,1003,1/10/2024,12/29/2023,4000,3800,Pending,Health,7/1/2022,12/31/2023,1497,30,Female,50057,680,Rural,Fire,Medium,Agent,Agent,15,Direct Transfer,2,4930,TRUE,503,1/14/2024,Needs further review,TRUE,1976,FALSE,1/19/2024,20,3.9,,Pending adjuster approval
46,3,103,1003,1/10/2024,12/29/2023,4015,3800,Pending,Auto,7/1/2022,12/31/2023,1464,30,Female,50877,680,Suburban,Fire,Medium,Self,Agent,14,Direct Transfer,2,4364,FALSE,503,1/14/2024,Needs further review,TRUE,1801,FALSE,1/19/2024,19,4.4,,Pending adjuster approval
47,3,103,1003,1/10/2024,12/29/2023,4002,3800,Pending,Auto,7/1/2022,12/31/2023,1489,30,Male,50213,680,Suburban,Fire,Medium,Self,Agent,14,Direct Transfer,2,4780,FALSE,503,1/14/2024,Needs further review,TRUE,1928,FALSE,1/19/2024,19,4.5,,Pending adjuster approval
48,1,101,1002,1/9/2024,12/24/2023,4005,3800,Rejected,Home,7/1/2022,12/31/2023,1472,30,Male,50556,681,Urban,Theft,High,Self,Online,7,Direct Transfer,2,4511,FALSE,502,1/11/2024,Valid claim,TRUE,1844,FALSE,1/14/2024,12,4.5,,All documents valid
49,1,101,1001,1/5/2024,12/20/2023,5495,4878,Approved,Home,5/13/2022,12/31/2023,1009,40,Male,67126,745,Urban,Accident,High,Self,Online,6,Cheque,0,536,FALSE,501,1/7/2024,Valid claim,FALSE,409,TRUE,1/10/2024,11,4.3,Fraud detected,All documents valid
50,2,102,1002,1/9/2024,12/25/2023,4427,3899,Rejected,Auto,7/1/2022,12/31/2023,1257,33,Male,57655,691,Suburban,Theft,Low,Self,Online,11,Cheque,1,2102,FALSE,502,1/12/2024,Fraud suspected,TRUE,1077,TRUE,1/15/2024,15,4.2,Fraud detected,Pending adjuster approval
51,2,102,1002,1/9/2024,12/25/2023,4460,3916,Rejected,Auto,7/1/2022,12/31/2023,1247,34,Male,58013,693,Suburban,Theft,Low,Self,Online,11,Cheque,1,2018,FALSE,502,1/12/2024,Fraud suspected,TRUE,1047,TRUE,1/15/2024,15,4.2,Fraud detected,Pending adjuster approval
52,2,102,1002,1/7/2024,12/22/2023,5133,4652,Rejected,Home,7/1/2022,12/31/2023,1091,38,Male,63976,720,Urban,Theft,High,Self,Online,9,Cheque,1,950,FALSE,502,1/10/2024,Fraud suspected,FALSE,617,TRUE,1/12/2024,14,3.9,Fraud detected,
53,2,102,1002,1/8/2024,12/24/2023,4607,4026,Rejected,Auto,7/1/2022,12/31/2023,1208,35,Female,59482,697,Suburban,Theft,Low,Self,Online,10,Cheque,1,1713,FALSE,502,1/12/2024,Fraud suspected,TRUE,934,TRUE,1/14/2024,15,4.1,Fraud detected,Pending adjuster approval
54,3,103,1003,1/10/2024,12/29/2023,4294,3958,Pending,Health,7/1/2022,12/31/2023,1334,33,Female,55269,680,Rural,Fire,Medium,Agent,Agent,15,Direct Transfer,1,2777,TRUE,503,1/14/2024,Needs further review,TRUE,1315,FALSE,1/19/2024,20,3.4,,Pending adjuster approval
55,3,102,1003,1/10/2024,12/28/2023,4014,3800,Pending,Auto,7/1/2022,12/31/2023,1462,30,Male,50884,680,Suburban,Fire,Low,Self,Phone,13,Direct Transfer,2,4348,FALSE,503,1/14/2024,Needs further review,TRUE,1796,FALSE,1/18/2024,18,4.5,,Pending adjuster approval
56,1,101,1001,1/6/2024,12/22/2023,4629,3937,Rejected,Home,6/30/2022,12/31/2023,1182,35,Male,60222,716,Urban,Theft,High,Self,Online,7,Cheque,1,1539,FALSE,501,1/9/2024,Fraud suspected,FALSE,864,TRUE,1/12/2024,12,4.4,Fraud detected,All documents valid
57,3,103,1003,1/10/2024,12/28/2023,4147,3815,Pending,Auto,7/1/2022,12/31/2023,1372,31,Female,53727,681,Suburban,Fire,Medium,Agent,Agent,14,Direct Transfer,1,3198,FALSE,503,1/14/2024,Needs further review,TRUE,1447,FALSE,1/18/2024,18,4.1,,Pending adjuster approval
58,3,103,1002,1/6/2024,12/22/2023,6763,6749,Pending,Auto,6/16/2022,12/31/2023,830,45,Female,74835,750,Suburban,Fire,Low,Agent,Agent,13,Cheque,0,1,TRUE,502,1/10/2024,Needs further review,FALSE,3,TRUE,1/12/2024,18,3,Fraud detected,Pending adjuster approval
59,3,103,1003,1/10/2024,12/29/2023,4003,3800,Pending,Health,7/1/2022,12/31/2023,1489,30,Female,50255,680,Rural,Fire,Medium,Agent,Agent,15,Direct Transfer,2,4761,TRUE,503,1/14/2024,Needs further review,TRUE,1923,FALSE,1/19/2024,20,4.2,,Pending adjuster approval
60,3,103,1003,1/10/2024,12/29/2023,4634,4446,Pending,Health,7/1/2022,12/31/2023,1239,35,Female,58748,682,Suburban,Fire,Medium,Agent,Agent,15,Direct Transfer,1,1925,TRUE,503,1/14/2024,Needs further review,TRUE,1019,FALSE,1/19/2024,19,3.2,,Pending adjuster approval
61,3,103,1003,1/10/2024,12/29/2023,4000,3800,Pending,Health,7/1/2022,12/31/2023,1495,30,Male,50085,680,Rural,Fire,Medium,Self,Agent,15,Direct Transfer,2,4893,FALSE,503,1/14/2024,Needs further review,TRUE,1964,FALSE,1/19/2024,19,4.5,,Pending adjuster approval
62,1,101,1001,1/5/2024,12/20/2023,6062,6061,Approved,Home,5/7/2022,12/31/2023,929,42,Male,70565,750,Urban,Accident,High,Self,Online,6,Cheque,0,224,FALSE,501,1/7/2024,Valid claim,FALSE,218,TRUE,1/10/2024,11,4,Fraud detected,All documents valid
63,3,103,1003,1/10/2024,12/29/2023,4006,3800,Pending,Health,7/1/2022,12/31/2023,1483,30,Female,50386,680,Rural,Fire,Medium,Agent,Agent,15,Direct Transfer,2,4669,TRUE,503,1/14/2024,Needs further review,TRUE,1895,FALSE,1/19/2024,20,4.2,,Pending adjuster approval
64,3,103,1003,1/10/2024,12/29/2023,4312,3951,Pending,Health,7/1/2022,12/31/2023,1324,33,Female,55579,681,Rural,Fire,Medium,Agent,Agent,15,Direct Transfer,1,2681,TRUE,503,1/14/2024,Needs further review,TRUE,1281,FALSE,1/19/2024,19,3.5,,Pending adjuster approval
65,2,102,1002,1/10/2024,12/27/2023,4073,3802,Pending,Auto,7/1/2022,12/31/2023,1404,31,Male,52580,681,Suburban,Theft,Low,Self,Online,12,Direct Transfer,2,3583,FALSE,502,1/13/2024,Needs further review,TRUE,1564,FALSE,1/17/2024,16,4.4,,Pending adjuster approval
66,1,101,1001,1/5/2024,12/21/2023,5922,6026,Rejected,Home,5/28/2022,12/31/2023,958,42,Male,69434,745,Urban,Theft,High,Self,Online,7,Cheque,0,323,FALSE,501,1/8/2024,Valid claim,FALSE,285,TRUE,1/11/2024,12,3.7,Fraud detected,All documents valid
67,1,101,1001,1/5/2024,12/20/2023,6379,6413,Approved,Home,5/1/2022,12/31/2023,880,44,Male,72603,750,Urban,Accident,High,Self,Online,5,Cheque,0,85,FALSE,501,1/7/2024,Valid claim,FALSE,108,TRUE,1/10/2024,10,4.2,Fraud detected,All documents valid
68,3,103,1003,1/10/2024,12/29/2023,4004,3800,Pending,Auto,7/1/2022,12/31/2023,1483,30,Male,50371,680,Suburban,Fire,Medium,Self,Agent,14,Direct Transfer,2,4665,FALSE,503,1/14/2024,Needs further review,TRUE,1893,FALSE,1/19/2024,19,4.5,,Pending adjuster approval
69,2,103,1002,1/7/2024,12/24/2023,6407,6708,Pending,Auto,7/1/2022,12/31/2023,902,44,Female,71998,739,Suburban,Fire,Low,Agent,Agent,12,Cheque,0,138,TRUE,502,1/11/2024,Needs further review,FALSE,156,TRUE,1/14/2024,17,3,Fraud detected,Pending adjuster approval
70,2,102,1002,1/7/2024,12/23/2023,6340,6672,Pending,Auto,7/1/2022,12/31/2023,910,44,Female,71629,741,Suburban,Theft,Low,Agent,Phone,11,Cheque,0,161,TRUE,502,1/10/2024,Fraud suspected,FALSE,175,TRUE,1/13/2024,16,3.1,Fraud detected,Pending adjuster approval
71,2,102,1002,1/10/2024,12/26/2023,4040,3800,Rejected,Auto,7/1/2022,12/31/2023,1428,30,Male,51818,681,Suburban,Theft,Low,Self,Online,11,Direct Transfer,2,3886,FALSE,502,1/13/2024,Fraud suspected,TRUE,1656,FALSE,1/16/2024,16,4.5,,Pending adjuster approval
72,2,102,1002,1/10/2024,12/26/2023,4644,4137,Pending,Auto,7/1/2022,12/31/2023,1209,35,Female,59561,692,Suburban,Fire,Low,Agent,Phone,12,Cheque,1,1713,FALSE,502,1/13/2024,Needs further review,TRUE,935,TRUE,1/16/2024,17,3.8,Fraud detected,Pending adjuster approval
73,2,102,1002,1/10/2024,12/26/2023,4167,3812,Pending,Auto,7/1/2022,12/31/2023,1352,31,Male,54289,683,Suburban,Theft,Low,Self,Online,12,Direct Transfer,1,2997,FALSE,502,1/13/2024,Needs further review,TRUE,1379,FALSE,1/16/2024,16,4.3,,Pending adjuster approval
74,1,101,1001,1/5/2024,12/21/2023,5355,4791,Rejected,Home,5/31/2022,12/31/2023,1040,39,Male,65933,738,Urban,Accident,High,Self,Online,7,Cheque,0,679,FALSE,501,1/8/2024,Valid claim,FALSE,486,TRUE,1/11/2024,11,4.2,Fraud detected,All documents valid
75,1,101,1001,1/6/2024,12/21/2023,4202,3804,Approved,Home,6/12/2022,12/31/2023,1304,32,Male,55598,708,Urban,Accident,High,Self,Online,6,Cheque,1,2544,FALSE,501,1/8/2024,Valid claim,TRUE,1225,TRUE,1/11/2024,11,4.5,Fraud detected,All documents valid
76,2,102,1002,1/6/2024,12/22/2023,5811,6047,Rejected,Home,7/1/2022,12/31/2023,985,41,Female,68441,734,Urban,Theft,High,Agent,Online,9,Cheque,0,425,FALSE,502,1/10/2024,Fraud suspected,FALSE,349,TRUE,1/12/2024,14,3.4,Fraud detected,Pending adjuster approval
77,1,102,1001,1/5/2024,12/20/2023,6763,6749,Rejected,Home,5/3/2022,12/31/2023,830,45,Female,74847,750,Urban,Theft,High,Agent,Online,7,Cheque,0,0,TRUE,501,1/7/2024,Fraud suspected,FALSE,2,TRUE,1/10/2024,12,3,Fraud detected,Pending adjuster approval
78,2,102,1002,1/10/2024,12/26/2023,4008,3800,Rejected,Auto,7/1/2022,12/31/2023,1468,30,Male,50709,680,Suburban,Theft,Low,Self,Online,10,Direct Transfer,2,4431,FALSE,502,1/13/2024,Fraud suspected,TRUE,1821,FALSE,1/16/2024,15,4.5,,
79,2,102,1002,1/10/2024,12/26/2023,4042,3800,Rejected,Auto,7/1/2022,12/31/2023,1425,30,Male,51903,681,Suburban,Theft,Low,Self,Online,11,Direct Transfer,2,3843,FALSE,502,1/13/2024,Fraud suspected,TRUE,1643,FALSE,1/16/2024,15,4.5,,
80,2,101,1002,1/8/2024,12/23/2023,4058,3800,Rejected,Home,7/1/2022,12/31/2023,1402,31,Male,52517,686,Urban,Theft,High,Self,Online,8,Direct Transfer,2,3570,FALSE,502,1/11/2024,Fraud suspected,TRUE,1557,FALSE,1/13/2024,13,4.5,,All documents valid
81,1,101,1001,1/5/2024,12/20/2023,4300,3809,Approved,Home,5/26/2022,12/31/2023,1259,32,Male,57138,720,Urban,Accident,High,Self,Online,6,Cheque,1,2150,FALSE,501,1/7/2024,Valid claim,TRUE,1088,TRUE,1/10/2024,10,4.5,Fraud detected,All documents valid
82,1,101,1002,1/8/2024,12/22/2023,4002,3800,Approved,Home,7/1/2022,12/31/2023,1482,30,Male,50331,681,Urban,Accident,High,Self,Online,6,Direct Transfer,2,4660,FALSE,502,1/9/2024,Valid claim,TRUE,1889,FALSE,1/12/2024,11,4.5,,All documents valid
83,1,101,1001,1/5/2024,12/20/2023,6626,6723,Approved,Home,5/2/2022,12/31/2023,852,45,Male,73902,750,Urban,Accident,High,Self,Online,5,Cheque,0,27,FALSE,501,1/7/2024,Valid claim,FALSE,47,TRUE,1/10/2024,10,3.5,Fraud detected,All documents valid
84,2,101,1003,1/10/2024,12/27/2023,4000,3800,Rejected,Auto,7/1/2022,12/31/2023,1495,30,Male,50079,680,Suburban,Theft,High,Self,Online,10,Direct Transfer,2,4891,FALSE,503,1/14/2024,Fraud suspected,TRUE,1962,FALSE,1/17/2024,15,4.5,,All documents valid
85,2,102,1002,1/9/2024,12/25/2023,4106,3803,Rejected,Home,7/1/2022,12/31/2023,1377,31,Male,53397,684,Suburban,Theft,High,Self,Online,10,Direct Transfer,1,3269,FALSE,502,1/12/2024,Fraud suspected,TRUE,1465,FALSE,1/15/2024,15,4.5,,
86,2,102,1003,1/10/2024,12/27/2023,4042,3801,Pending,Auto,7/1/2022,12/31/2023,1431,30,Male,51781,681,Suburban,Fire,Low,Self,Online,12,Direct Transfer,2,3912,FALSE,503,1/14/2024,Needs further review,TRUE,1665,FALSE,1/17/2024,17,4.5,,Pending adjuster approval
87,2,103,1002,1/6/2024,12/22/2023,6755,6749,Pending,Auto,6/19/2022,12/31/2023,834,45,Female,74726,750,Suburban,Fire,Low,Agent,Agent,12,Cheque,0,3,TRUE,502,1/10/2024,Needs further review,FALSE,9,TRUE,1/12/2024,17,3,Fraud detected,Pending adjuster approval
